Jay,Harbor,Available,Tank,8.5,9.0,5.5,8.7,6.7,7.3,6.2
Fraser,Liveley,Available,Offlane,,7.8,6.9,9.0,5.7,8.7,6.8,7.9
River,Williams,Available,ADC,8.8,6.6,4.0,5.3,8.0,6.2,7.1 
Fin,Readshall,Available,Jungler,8.0,6.1,2.0,5.4,8.0,6.1,7.3
Jordan,Mann,Available,Support,8.0,6.1,2.0,5.4,8.0,6.1,7.3
Olvier,Mann,Available,Tank,6.0,3.1,7.0,8.4,8.0,4.1,9.3
David,Gordon,Available,Offlane,8.0,6.1,2.0,5.4,8.0,6.1,7.3
Brody,Maine,Available,ADC,4.0,7.1,8.0,8.4,8.0,8.1,8.3
Dan,Flatley,Available,Jungler,9.0,9.1,9.0,9.4,9.0,9.1,9.3
Victor,Mower,Available,Support,7.0,7.1,7.0,7.4,7.0,7.1,7.3
